City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,20.85,85,100,6.88,PN,1691088548
1,utrik,11.2278,169.8474,28.57,76,72,7.0,MH,1691088562
2,dakhla,23.6848,-15.958,24.01,73,2,13.89,EH,1691088762
3,stanley,54.868,-1.6985,15.99,92,40,0.51,GB,1691088574
4,magdagachi,53.45,125.8,10.96,70,99,1.89,RU,1691088914
5,iskateley,67.6803,53.1512,20.97,69,47,1.95,RU,1691088593
6,gaspe,48.8334,-64.4819,24.12,41,75,6.17,CA,1691088914
7,punta arenas,-53.15,-70.9167,3.97,78,100,11.69,CL,1691088276
8,kill devil hills,36.0307,-75.676,28.0,51,0,3.6,US,1691088691
9,san antonio de pale,-1.4014,5.6325,22.5,75,100,2.54,GQ,1691088657
10,vilyuchinsk,52.9306,158.4028,11.15,84,100,2.42,RU,1691088550
11,thompson,55.7435,-97.8558,22.09,60,40,0.0,CA,1691088565
12,zeya,53.75,127.2667,11.48,72,39,2.13,RU,1691088609
13,ilulissat,69.2167,-51.1,9.01,71,75,1.54,GL,1691088561
14,illizi,26.4833,8.4667,41.89,11,2,8.83,DZ,1691088916
15,aykhal,66.0,111.5,6.14,86,96,3.08,RU,1691088597
16,nouadhibou,20.931,-17.0347,24.99,73,6,6.69,MR,1691088916
17,kemijarvi,66.7131,27.4306,16.02,94,98,3.03,FI,1691088917
18,susuman,62.7833,148.1667,7.18,61,100,1.88,RU,1691088569
19,weno,7.4515,151.8468,28.36,75,22,2.61,FM,1691088633
20,constantia,44.1833,28.65,23.38,80,0,3.38,RO,1691088571
21,lodwar,3.1191,35.5973,28.81,41,100,3.54,KE,1691088918
22,mazagao,-0.115,-51.2894,33.03,42,4,1.97,BR,1691088918
23,nemuro,43.3236,145.575,18.37,99,82,8.31,JP,1691088604
24,ust-nera,64.5667,143.2,12.19,62,0,1.74,RU,1691088550
25,san patricio,28.017,-97.5169,37.4,41,35,7.28,US,1691088673
26,albany,42.6001,-73.9662,26.05,69,100,0.45,US,1691088385
27,bonthe,7.5264,-12.505,25.18,88,100,2.46,SL,1691088919
28,afaahiti,-17.75,-149.2833,24.93,77,11,5.96,PF,1691088597
29,hawaiian paradise park,19.5933,-154.9731,25.57,90,100,2.57,US,1691088573
30,hithadhoo,-0.6,73.0833,28.1,75,34,3.68,MV,1691088565
31,tazacorte,28.629,-17.9293,25.54,85,75,6.17,ES,1691088920
32,mount gambier,-37.8333,140.7667,18.76,45,100,7.72,AU,1691088921
33,tuy hoa,13.0833,109.3,27.36,76,83,4.38,VN,1691088921
34,west island,-12.1568,96.8225,24.99,73,75,9.26,CC,1691088569
35,coruripe,-10.1256,-36.1756,25.04,70,5,4.74,BR,1691088922
36,zheleznodorozhnyy,55.7503,38.0042,24.09,71,13,2.42,RU,1691088689
37,chinde,26.8418,88.0763,19.38,95,100,1.85,NP,1691088651
38,yellowknife,62.456,-114.3525,20.31,49,75,1.03,CA,1691088548
39,sanya,18.2431,109.505,26.09,94,75,5.0,CN,1691088923
40,tolanaro,-25.0319,46.9987,19.04,72,40,7.2,MG,1691088603
41,grytviken,-54.2811,-36.5092,-2.12,80,100,5.0,GS,1691088547
42,bilibino,68.0546,166.4372,9.61,95,100,0.66,RU,1691088550
43,kupang,-10.1667,123.5833,24.56,81,18,6.44,ID,1691088702
44,hermanus,-34.4187,19.2345,16.55,65,100,2.65,ZA,1691088570
45,celestun,20.8667,-90.4,31.14,62,25,6.88,MX,1691088704
46,leava,-14.3,-178.1667,26.75,81,100,11.41,WF,1691088623
47,roslavl',53.9528,32.8639,17.99,87,7,2.53,RU,1691088787
48,wailua homesteads,22.0669,-159.378,26.44,80,75,8.75,US,1691088551
49,margaret river,-33.95,115.0667,8.48,78,47,2.54,AU,1691088549
50,iqaluit,63.7506,-68.5145,9.85,76,40,2.06,CA,1691088572
51,port lincoln,-34.7333,135.8667,13.3,82,45,8.96,AU,1691088567
52,olyokminsk,60.3736,120.4264,13.32,69,2,1.03,RU,1691088926
53,waitangi,-43.9535,-176.5597,8.79,89,96,15.8,NZ,1691088546
54,trairi,-3.2778,-39.2689,28.4,65,19,6.95,BR,1691088312
55,port-aux-francais,-49.35,70.2167,2.63,84,49,18.04,TF,1691088546
56,port alfred,-33.5906,26.891,19.49,41,6,5.12,ZA,1691088645
57,puerto natales,-51.7236,-72.4875,3.58,95,100,8.22,CL,1691088374
58,robore,-18.3333,-59.75,34.05,52,0,7.72,BO,1691088927
59,papatowai,-46.5619,169.4708,8.99,73,100,4.33,NZ,1691088548
60,quelimane,-17.8786,36.8883,19.97,88,75,5.81,MZ,1691088927
61,brookings,44.3114,-96.7984,30.81,59,98,0.45,US,1691088536
62,balabac,7.9868,117.0645,27.42,82,100,1.69,PH,1691088928
63,adrar,20.5022,-10.0711,41.54,6,78,4.93,MR,1691088699
64,invercargill,-46.4,168.35,8.34,84,100,2.68,NZ,1691088585
65,puerto yuca,2.9383,-73.2083,31.37,52,88,1.68,CO,1691088929
66,las khorey,11.1595,48.1967,32.69,53,100,3.72,SO,1691088929
67,jiexiu,37.0244,111.9125,26.92,66,0,2.22,CN,1691088929
68,blackmans bay,-43.0167,147.3167,10.85,85,100,2.52,AU,1691088553
69,port augusta,-32.5,137.7667,20.17,41,100,6.28,AU,1691088930
70,vilyuysk,63.7553,121.6247,14.07,80,99,3.86,RU,1691088930
71,kota kinabalu,5.9749,116.0724,24.99,78,20,3.6,MY,1691088685
72,santo antonio,-6.3106,-35.4789,27.6,55,100,6.31,BR,1691088930
73,college,64.8569,-147.8028,21.78,64,75,1.54,US,1691088552
74,gustavsberg,59.3268,18.3898,17.32,96,85,5.56,SE,1691088931
75,brokopondo,4.75,-55.1667,31.4,55,38,1.04,SR,1691088697
76,faya-largeau,17.9257,19.1043,36.03,31,1,2.72,TD,1691088668
77,olonkinbyen,70.9221,-8.7187,4.44,90,54,8.48,SJ,1691088576
78,segorbe,39.8138,-0.4521,25.62,77,70,4.03,ES,1691088932
